usuario_id,anio_nacimiento,ciudad,ingreso_estimado,fecha_alta,dias_desde_ultimo_pedido,gasto_restaurantes,gasto_mercados,gasto_bebidas,gasto_farmacia,gasto_kioscos,gasto_premium,pedidos_con_descuento,pedidos_app,pedidos_web,pedidos_local,visitas_app_mes,cupon_hot_sale,cupon_dia_del_amigo,cupon_cyber_monday,cupon_navidad,cupon_finde_largo,reclamo,respuesta_ultima_campania
1911,1987,CABA,1685750.0,2024-09-05,25,595000,291000,133000,127000,97000,121000,1,5,11,12,6,0,0,0,0,0,0,0
1050,1952,CABA,708300.0,2026-04-30,6,14000,13000,15000,4000,10000,9000,1,1,2,4,2,0,0,0,0,0,0,0
10099,1984,CABA,1385850.0,2025-10-05,2,238000,215000,69000,169000,115000,76000,3,3,5,13,4,0,0,0,0,0,0,0
8629,1956,CABA,1174600.0,2025-03-26,28,19000,10000,1000,2000,1000,8000,1,0,1,3,5,0,0,0,0,0,0,0
7822,1976,CABA,1351450.0,2025-06-04,26,198000,252000,108000,32000,18000,54000,2,6,4,8,3,0,0,0,0,0,0,0
3745,1988,Rosario,583275.0,2024-09-04,94,5000,7000,10000,0,36000,45000,2,0,3,3,8,0,0,0,0,0,0,0
4767,1965,Rosario,1773100.0,2026-04-07,4,635000,254000,152000,132000,114000,76000,1,6,6,7,3,0,0,0,0,1,0,0
8595,1973,CABA,1060725.0,2026-02-11,5,55000,6000,0,2000,0,4000,2,1,1,3,5,0,0,0,0,0,0,0
5029,1946,CABA,452500.0,2025-08-06,22,3000,2000,3000,4000,1000,1000,1,0,0,3,5,0,0,0,0,0,0,0
10451,1965,CABA,741800.0,2025-03-12,9,9000,3000,4000,0,1000,8000,1,0,0,3,6,0,0,0,0,0,0,0
4508,1952,CABA,1878175.0,2026-05-22,13,203000,305000,17000,46000,35000,227000,1,11,2,5,1,0,0,0,0,0,0,0
6281,1966,CABA,1392150.0,2025-02-14,32,673000,199000,47000,37000,0,26000,2,3,6,5,4,0,0,1,0,0,0,0
2632,1954,CABA,1262525.0,2025-06-18,4,297000,38000,0,13000,0,152000,7,4,5,4,6,0,0,1,0,0,0,1
7798,1972,Rosario,1158600.0,2024-12-14,3,233000,57000,20000,8000,20000,91000,4,1,7,5,7,0,0,0,0,0,0,0
2447,1979,CABA,763625.0,2024-10-17,98,4000,15000,7000,19000,12000,12000,2,0,2,3,7,0,0,0,0,0,0,0
4944,1959,CABA,1784175.0,2025-08-23,16,227000,389000,21000,42000,23000,75000,1,5,4,7,2,0,0,0,0,0,0,0
6637,1988,CABA,1673775.0,2025-11-02,20,277000,305000,76000,173000,162000,124000,1,4,3,7,1,0,0,0,0,0,0,0
4828,1954,CABA,1996625.0,2026-06-18,11,71000,278000,121000,185000,99000,38000,1,10,5,5,1,0,0,0,0,0,0,0
4127,1967,GBA,1944150.0,2025-02-22,13,1004000,265000,59000,115000,59000,27000,2,10,11,11,6,0,0,1,0,0,0,1
2798,1977,GBA,2554000.0,2024-11-02,14,763000,138000,176000,76000,29000,58000,0,9,7,10,4,1,0,0,1,1,0,1
1833,1974,GBA,979750.0,2026-04-26,23,68000,18000,8000,19000,8000,12000,2,1,2,4,5,0,0,0,0,0,0,0
9239,1961,Córdoba,1548075.0,2025-07-26,34,92000,18000,3000,3000,4000,6000,1,1,2,4,3,0,0,0,0,0,0,0
7264,1978,Rosario,1304875.0,2026-05-12,8,12000,4000,0,0,0,1000,1,0,1,2,8,0,0,0,0,0,0,0
4391,1968,Córdoba,1596025.0,2025-04-21,7,635000,100000,7000,20000,15000,131000,1,3,9,9,6,0,0,0,0,0,0,0
9432,1977,CABA,16666650.0,2025-06-02,6,9000,18000,1000,8000,14000,12000,4,1,3,3,6,0,0,0,0,0,0,0
3565,1955,Córdoba,961300.0,2026-03-30,9,56000,14000,0,0,0,2000,3,0,3,3,7,0,0,0,0,0,0,0
5370,1973,GBA,816100.0,2025-01-16,33,239000,141000,7000,0,3000,23000,4,1,7,6,8,0,0,1,0,0,0,0
10509,1955,Córdoba,923175.0,2026-06-02,6,51000,16000,0,0,0,4000,2,0,3,3,8,0,0,0,0,0,0,0
7712,1946,GBA,1553975.0,2026-04-28,10,182000,259000,70000,77000,17000,29000,1,2,6,10,4,0,0,0,0,0,0,0
4065,1976,GBA,1238600.0,2025-02-12,11,308000,73000,0,0,0,23000,2,1,5,8,7,0,0,0,0,0,0,0
2131,1959,GBA,1571475.0,2024-12-30,8,1063000,102000,12000,16000,89000,25000,4,4,9,6,6,0,0,0,0,0,0,0
2639,1966,CABA,1090050.0,2026-01-10,85,19000,12000,3000,10000,5000,19000,3,1,3,2,6,0,0,0,0,0,0,0
8405,1979,CABA,1706850.0,2025-09-30,19,135000,51000,25000,23000,25000,46000,2,2,4,5,3,0,0,0,0,0,0,0
