antiguedad_meses,plan,horas_vistas_mes_pasado,perfiles_activos,genero_favorito,dispositivo_principal,usa_descargas_offline,dias_desde_ultima_sesion,cambios_plan_ultimo_anio,churn_30d,horas_proximo_mes
2,estandar_con_anuncios,6.7,1,comedia,pc,False,2,0,1,5.5
25,estandar_con_anuncios,20.3,1,documental,pc,False,1,1,0,18.6
59,estandar_con_anuncios,25.7,2,anime,smart_tv,False,9,0,0,13.6
41,estandar,61.6,3,comedia,smart_tv,False,1,1,0,54.1
30,basico,5.3,2,accion,celular,False,4,1,0,4.8
9,estandar_con_anuncios,5.1,1,comedia,celular,False,0,0,0,4.3
21,estandar,78.8,2,drama,consola,True,1,3,0,72.9
31,estandar_con_anuncios,16.5,1,drama,consola,False,13,0,0,18.9
17,estandar,8.1,2,drama,consola,False,7,0,0,8.0
42,basico,19.8,2,anime,consola,False,13,0,0,23.3
58,basico,0.0,2,comedia,tablet,False,11,1,0,0.0
13,basico,29.7,2,reality,celular,True,5,0,0,28.1
15,estandar,48.4,1,kids,smart_tv,False,6,0,0,31.5
8,basico,12.0,1,drama,smart_tv,True,9,0,0,11.1
43,estandar_con_anuncios,14.5,2,drama,smart_tv,False,1,3,0,11.8
28,estandar_con_anuncios,34.2,2,reality,smart_tv,False,0,0,0,42.1
17,premium,20.2,1,comedia,smart_tv,True,0,0,0,21.7
13,premium,26.3,4,reality,tablet,True,3,0,0,31.1
5,estandar,32.0,2,drama,smart_tv,False,0,1,0,29.5
29,estandar_con_anuncios,9.1,1,documental,tablet,False,2,0,0,7.4
41,premium,44.0,4,reality,pc,False,1,0,0,35.7
14,estandar,17.2,1,comedia,celular,False,4,2,0,18.0
1,estandar,38.3,3,comedia,celular,False,0,0,0,50.8
28,basico,25.1,2,anime,smart_tv,True,4,0,0,27.0
40,estandar_con_anuncios,29.6,1,comedia,celular,False,0,2,0,27.6
21,estandar_con_anuncios,22.8,1,accion,smart_tv,False,1,0,0,22.0
15,premium,49.4,1,accion,tablet,True,4,0,0,49.1
10,basico,4.1,1,comedia,smart_tv,True,0,0,1,1.9
45,estandar_con_anuncios,29.1,2,kids,smart_tv,False,7,1,1,0.0
51,basico,24.3,2,kids,celular,False,11,2,1,0.4
46,estandar,36.3,1,comedia,celular,False,1,0,0,37.0
31,estandar_con_anuncios,36.3,1,reality,celular,False,4,0,0,38.3
43,premium,37.8,2,drama,celular,True,0,0,0,41.2
24,estandar,57.3,1,drama,smart_tv,False,9,0,0,53.0
2,estandar,56.8,3,accion,celular,False,0,0,0,48.2
22,basico,38.1,2,anime,smart_tv,True,11,0,0,45.2
42,estandar,23.8,3,drama,smart_tv,False,2,0,0,23.9
39,estandar,5.5,3,drama,smart_tv,False,0,1,1,0.4
59,estandar,56.1,2,accion,smart_tv,True,1,0,0,72.7
59,estandar_con_anuncios,24.6,2,reality,smart_tv,False,10,0,1,2.7
15,basico,15.1,1,drama,celular,True,2,0,0,16.1
1,estandar_con_anuncios,35.7,1,comedia,smart_tv,False,7,0,1,0.7
17,basico,13.5,1,kids,smart_tv,True,3,0,0,14.0
52,basico,23.0,1,comedia,celular,True,6,0,0,18.5
48,estandar_con_anuncios,29.9,1,drama,smart_tv,False,1,0,0,28.4
6,estandar_con_anuncios,1.8,2,drama,celular,False,2,0,1,2.2
10,estandar,34.2,1,comedia,tablet,False,3,1,1,1.2
34,estandar_con_anuncios,37.2,1,accion,smart_tv,False,2,1,0,32.2
39,premium,51.4,2,reality,consola,True,2,1,0,61.6
58,estandar,58.5,1,documental,smart_tv,True,10,0,0,55.6
45,basico,45.8,2,kids,smart_tv,False,9,2,0,44.9
13,estandar,36.2,3,anime,celular,True,3,0,0,43.2
3,estandar_con_anuncios,0.0,1,comedia,pc,False,0,0,0,0.0
38,premium,31.6,1,comedia,pc,False,0,0,0,23.2
33,basico,39.2,1,anime,smart_tv,False,3,0,0,29.4
55,estandar,16.3,2,comedia,pc,False,0,0,0,18.0
34,estandar_con_anuncios,15.9,2,kids,smart_tv,False,1,0,1,2.3
30,basico,32.6,1,kids,smart_tv,False,2,1,0,28.5
18,basico,48.5,2,drama,smart_tv,True,2,0,0,38.4
6,premium,36.9,4,accion,tablet,True,2,1,0,35.1
52,estandar,29.7,1,drama,smart_tv,True,0,1,0,35.7
49,basico,28.3,1,drama,pc,False,0,0,0,24.0
10,estandar_con_anuncios,24.1,1,accion,celular,False,7,0,1,3.0
42,basico,26.2,1,comedia,celular,True,2,0,0,20.6
22,estandar,52.6,1,kids,celular,False,14,0,0,49.1
26,basico,15.2,2,reality,consola,True,0,3,0,16.1
51,estandar_con_anuncios,24.1,2,reality,smart_tv,False,4,1,1,3.6
50,premium,55.8,3,comedia,smart_tv,True,1,1,0,58.0
12,premium,40.0,1,comedia,celular,True,1,0,0,39.6
19,estandar_con_anuncios,32.2,2,comedia,smart_tv,False,9,1,0,37.2
49,estandar,41.3,2,drama,smart_tv,True,18,1,0,46.5
55,estandar_con_anuncios,34.4,2,anime,smart_tv,False,9,0,0,30.8
5,estandar,38.3,2,comedia,smart_tv,False,12,0,0,54.2
50,estandar_con_anuncios,27.8,2,comedia,smart_tv,False,4,0,0,27.7
29,estandar,27.9,1,reality,smart_tv,False,9,0,0,29.1
35,estandar,28.5,1,comedia,consola,False,0,2,1,6.6
5,estandar,53.8,3,drama,smart_tv,False,3,0,0,57.1
41,estandar_con_anuncios,30.9,2,drama,tablet,False,2,0,0,39.4
40,premium,33.0,4,documental,tablet,True,1,2,0,29.5
40,estandar_con_anuncios,24.0,2,kids,smart_tv,False,1,0,0,27.4
47,estandar_con_anuncios,0.0,2,drama,celular,False,3,0,0,0.0
56,estandar,31.1,1,reality,celular,True,0,2,0,36.6
51,basico,43.7,1,reality,celular,True,3,2,0,42.0
44,premium,46.8,3,reality,smart_tv,True,0,1,0,43.8
58,premium,51.6,1,comedia,smart_tv,True,0,0,0,58.4
40,basico,0.0,1,drama,smart_tv,False,3,2,0,0.0
40,premium,42.4,2,reality,celular,True,1,1,0,36.1
32,estandar_con_anuncios,25.7,2,comedia,tablet,False,17,1,1,1.1
46,estandar,45.8,3,documental,celular,False,3,0,0,51.8
5,estandar_con_anuncios,32.9,1,kids,celular,False,3,0,0,32.5
30,premium,44.3,4,drama,tablet,False,0,1,0,40.6
26,estandar_con_anuncios,17.7,1,kids,celular,False,10,1,0,18.9
54,estandar_con_anuncios,2.5,2,anime,smart_tv,False,2,0,0,2.8
5,basico,22.3,1,kids,consola,True,0,0,0,15.9
38,premium,29.2,5,accion,smart_tv,False,1,1,0,31.2
11,premium,18.2,2,reality,smart_tv,True,7,0,0,20.3
53,estandar,23.1,3,accion,celular,True,13,0,0,13.3
51,premium,71.9,5,kids,tablet,True,3,0,0,74.4
14,premium,42.1,2,reality,smart_tv,True,0,0,0,47.4
52,estandar,42.6,1,kids,celular,False,0,1,0,47.1
30,basico,19.8,2,comedia,smart_tv,True,0,0,0,22.7
58,estandar,13.0,1,drama,smart_tv,False,2,0,0,12.2
44,estandar,52.7,2,comedia,smart_tv,True,11,2,0,42.8
3,basico,0.0,1,accion,celular,False,5,1,0,0.0
12,estandar_con_anuncios,10.7,1,accion,consola,False,1,0,0,12.8
24,estandar,36.2,1,accion,smart_tv,False,3,0,0,40.8
13,estandar_con_anuncios,22.5,2,comedia,smart_tv,False,2,1,0,27.2
8,premium,34.8,2,kids,smart_tv,True,2,0,0,30.3
58,estandar_con_anuncios,0.0,1,reality,smart_tv,False,4,0,0,0.0
52,estandar_con_anuncios,10.3,2,comedia,celular,False,0,0,0,7.5
26,premium,35.9,4,kids,celular,False,5,0,0,30.3
13,estandar_con_anuncios,7.5,1,documental,celular,False,14,1,0,7.7
11,estandar_con_anuncios,33.5,1,accion,smart_tv,False,0,0,0,37.5
55,estandar,21.4,1,drama,celular,True,4,0,0,27.9
20,premium,51.2,4,kids,smart_tv,True,4,0,0,49.0
1,estandar_con_anuncios,20.5,1,anime,smart_tv,False,0,0,1,0.2
24,basico,41.4,2,kids,tablet,False,3,0,0,34.6
27,estandar,35.3,2,reality,pc,True,1,1,0,30.9
37,premium,60.0,5,anime,consola,True,7,0,0,84.0
20,estandar,34.1,3,comedia,consola,True,6,0,0,38.7
55,estandar_con_anuncios,29.1,1,documental,celular,False,15,0,1,4.9
38,estandar_con_anuncios,0.0,2,accion,consola,False,3,1,0,0.0
59,estandar_con_anuncios,0.0,2,anime,smart_tv,False,0,0,1,3.7
22,estandar_con_anuncios,25.5,1,drama,smart_tv,False,0,2,0,28.7
39,estandar,44.7,3,comedia,smart_tv,True,0,1,0,40.6
22,estandar_con_anuncios,27.0,1,reality,smart_tv,False,1,0,1,3.6
42,estandar,30.6,2,comedia,smart_tv,True,7,1,0,26.9
44,estandar,61.0,3,kids,smart_tv,True,2,0,0,56.1
19,estandar,29.7,3,comedia,celular,False,0,2,0,30.0
56,estandar_con_anuncios,29.0,2,anime,pc,False,7,2,0,24.7
51,premium,58.2,3,reality,celular,True,8,0,1,3.7
53,estandar,65.2,1,comedia,smart_tv,False,0,0,0,68.5
13,estandar,31.3,1,kids,celular,False,3,0,0,30.3
43,estandar_con_anuncios,11.8,2,comedia,smart_tv,False,1,0,0,10.0
7,estandar_con_anuncios,0.0,1,documental,smart_tv,False,3,1,1,0.0
7,premium,68.9,2,documental,smart_tv,True,10,2,0,62.6
58,basico,36.2,1,reality,smart_tv,True,1,0,0,36.5
10,basico,32.6,1,drama,smart_tv,False,9,1,0,39.0
51,basico,76.0,1,comedia,pc,False,3,1,0,58.9
26,estandar,42.0,2,kids,pc,True,3,0,0,58.4
18,premium,27.0,1,accion,celular,False,3,0,0,26.6
5,estandar_con_anuncios,15.5,1,accion,smart_tv,False,3,1,1,2.7
40,premium,33.7,1,drama,pc,False,1,1,0,29.1
43,estandar_con_anuncios,15.6,1,comedia,celular,False,1,3,1,2.6
28,estandar,31.3,3,reality,smart_tv,True,8,0,0,30.6
48,estandar,30.2,2,drama,celular,False,1,0,0,28.1
20,estandar_con_anuncios,0.0,2,comedia,celular,False,11,0,0,0.0
33,estandar_con_anuncios,44.6,1,anime,smart_tv,False,1,0,0,42.4
17,basico,30.9,1,drama,smart_tv,True,3,0,0,33.2
35,premium,44.5,2,kids,celular,False,5,2,0,45.9
9,estandar,47.1,2,comedia,smart_tv,True,11,0,0,46.8
29,premium,54.5,2,reality,smart_tv,False,0,1,0,47.5
33,premium,51.9,4,kids,smart_tv,False,7,0,0,44.7
33,basico,38.0,1,reality,tablet,True,4,0,0,34.8
27,estandar,39.3,3,drama,smart_tv,True,2,1,0,42.6
38,estandar_con_anuncios,31.2,2,accion,smart_tv,False,2,1,0,34.9
31,estandar_con_anuncios,31.9,2,kids,smart_tv,False,0,0,0,36.5
17,premium,48.9,3,comedia,consola,True,0,2,0,48.9
13,estandar,32.8,1,comedia,celular,False,0,0,0,35.1
39,estandar_con_anuncios,44.2,1,drama,consola,False,1,0,0,42.9
56,estandar,32.5,2,anime,smart_tv,False,4,0,0,22.3
45,estandar,44.6,1,kids,smart_tv,True,4,1,0,42.9
38,premium,54.4,1,documental,celular,True,6,0,0,50.7
55,estandar,30.4,1,kids,smart_tv,False,7,1,0,24.7
54,basico,17.4,1,accion,pc,False,2,0,0,15.6
30,basico,22.2,1,accion,consola,True,13,0,0,22.7
7,basico,18.2,1,accion,celular,True,0,1,0,14.5
38,estandar,16.3,1,documental,tablet,False,5,0,0,14.2
37,premium,38.3,4,drama,celular,True,3,0,0,49.0
17,basico,30.4,2,reality,smart_tv,True,0,0,0,21.6
51,estandar_con_anuncios,41.2,1,reality,celular,False,8,0,0,39.8
52,estandar_con_anuncios,30.6,2,comedia,smart_tv,False,7,0,1,1.3
20,estandar,0.0,1,accion,pc,False,11,0,0,0.0
29,premium,57.0,1,drama,smart_tv,False,0,0,0,55.0
12,estandar_con_anuncios,10.6,2,anime,smart_tv,False,0,0,0,8.7
11,estandar_con_anuncios,25.7,2,reality,celular,False,2,0,0,28.4
16,estandar,36.1,1,anime,smart_tv,True,0,0,1,2.1
22,estandar_con_anuncios,16.9,2,comedia,smart_tv,False,2,0,1,2.2
17,premium,44.9,2,drama,celular,True,4,0,0,53.2
9,basico,25.4,2,drama,smart_tv,True,1,1,0,19.1
27,estandar_con_anuncios,40.4,2,drama,celular,False,4,0,0,38.6
37,premium,47.8,5,drama,smart_tv,True,1,0,0,51.8
20,estandar_con_anuncios,35.9,1,drama,smart_tv,False,1,0,0,41.5
32,estandar_con_anuncios,34.8,1,anime,smart_tv,False,12,0,0,45.8
17,estandar_con_anuncios,29.4,2,drama,pc,False,0,0,0,35.1
42,estandar_con_anuncios,0.0,2,drama,tablet,False,5,1,0,0.0
39,estandar_con_anuncios,38.0,2,reality,smart_tv,False,3,0,0,56.0
57,estandar_con_anuncios,15.9,2,accion,tablet,False,2,0,1,0.0
4,estandar_con_anuncios,29.1,2,kids,celular,False,1,2,0,27.6
51,estandar_con_anuncios,7.7,2,documental,celular,False,3,0,0,7.9
21,estandar,19.0,3,reality,celular,False,1,2,0,15.9
4,estandar,65.0,2,documental,celular,True,1,1,0,65.8
41,basico,14.1,1,accion,pc,False,1,0,0,9.7
11,basico,43.1,2,kids,celular,False,1,0,0,39.0
11,estandar,37.7,1,accion,celular,True,0,0,0,36.9
58,premium,43.5,2,comedia,smart_tv,False,16,2,0,50.9
14,premium,45.5,5,accion,smart_tv,True,1,0,0,54.6
33,estandar_con_anuncios,1.2,1,drama,celular,False,3,2,1,2.8
12,estandar_con_anuncios,18.8,2,kids,smart_tv,False,3,0,0,25.8
8,estandar_con_anuncios,2.4,1,comedia,smart_tv,False,0,0,1,2.8
1,estandar_con_anuncios,12.2,1,drama,smart_tv,False,13,0,1,4.2
1,estandar,49.0,3,comedia,smart_tv,False,1,0,1,4.6
28,basico,31.1,1,reality,celular,True,0,0,0,27.6
26,estandar_con_anuncios,0.0,2,comedia,celular,False,0,2,0,0.0
3,basico,38.0,1,kids,smart_tv,False,1,0,0,39.2
21,estandar,36.6,1,reality,smart_tv,False,2,2,0,37.3
17,estandar_con_anuncios,11.3,1,drama,smart_tv,False,1,3,0,11.8
34,premium,59.0,4,kids,smart_tv,True,0,0,0,43.7
59,estandar_con_anuncios,20.4,1,comedia,celular,False,0,0,0,20.0
41,premium,30.9,2,drama,celular,True,5,0,0,38.7
55,estandar_con_anuncios,50.3,2,kids,celular,False,6,0,0,60.1
12,premium,45.7,2,reality,celular,True,0,3,0,44.7
13,premium,44.9,2,comedia,tablet,True,3,2,0,57.5
45,premium,42.7,2,accion,pc,True,5,2,0,33.0
19,premium,64.3,4,comedia,celular,True,8,0,0,53.1
51,estandar,31.4,3,accion,celular,False,8,0,0,41.9
28,estandar,14.2,3,documental,smart_tv,False,2,0,0,15.7
12,estandar,25.8,3,documental,tablet,True,2,2,0,24.5
50,estandar_con_anuncios,42.1,1,documental,smart_tv,False,5,0,0,41.7
33,estandar,50.2,1,drama,smart_tv,False,3,0,0,42.9
48,estandar,35.2,3,kids,tablet,True,0,0,0,37.0
27,premium,67.8,4,documental,celular,False,0,0,0,70.2
8,basico,36.9,2,kids,smart_tv,False,9,0,0,37.0
41,basico,24.4,2,drama,smart_tv,True,1,0,0,19.3
8,estandar,33.2,1,accion,smart_tv,True,1,1,0,34.8
40,estandar_con_anuncios,26.3,1,comedia,celular,False,9,1,0,23.8
25,estandar_con_anuncios,7.6,1,drama,smart_tv,False,2,0,0,6.3
47,basico,29.0,2,comedia,tablet,True,0,1,0,35.6
52,basico,34.0,2,accion,tablet,False,6,0,0,47.3
25,estandar_con_anuncios,0.0,1,kids,celular,False,0,1,1,2.8
53,basico,26.6,2,comedia,celular,False,15,0,1,4.0
7,basico,21.0,2,reality,smart_tv,False,3,0,0,20.0
7,basico,41.0,2,accion,smart_tv,True,5,0,0,40.5
59,basico,2.2,2,kids,celular,True,4,0,0,2.4
34,estandar,32.1,1,accion,smart_tv,False,2,0,0,29.7
27,estandar_con_anuncios,13.0,2,accion,smart_tv,False,2,1,0,16.1
10,premium,60.2,5,documental,smart_tv,True,3,1,0,38.1
18,premium,45.8,5,anime,smart_tv,True,1,0,0,43.4
41,basico,55.4,2,accion,smart_tv,True,4,0,0,63.4
49,basico,39.0,1,accion,celular,False,0,1,0,33.1
55,estandar,33.4,2,documental,pc,True,0,0,0,32.0
25,premium,50.7,4,kids,celular,False,4,0,0,56.1
27,estandar,31.9,2,drama,pc,False,8,0,0,40.6
10,premium,58.7,3,accion,smart_tv,True,7,0,0,45.0
5,estandar,15.4,2,accion,pc,False,0,0,0,11.6
26,estandar,24.8,1,anime,celular,True,1,0,0,20.6
35,estandar_con_anuncios,27.8,2,accion,smart_tv,False,13,0,0,20.1
7,estandar,54.0,3,accion,tablet,True,5,1,0,39.7
25,estandar_con_anuncios,0.0,2,anime,smart_tv,False,8,1,0,0.0
38,estandar,58.8,2,accion,smart_tv,True,3,1,0,71.9
48,premium,46.9,1,drama,smart_tv,True,10,0,0,44.3
56,estandar_con_anuncios,0.0,1,drama,smart_tv,False,0,2,1,3.1
21,estandar,0.0,2,drama,smart_tv,True,1,1,0,0.0
24,estandar_con_anuncios,0.0,1,drama,celular,False,7,0,1,5.2
52,estandar,39.0,2,accion,consola,True,1,0,0,52.2
41,estandar_con_anuncios,20.4,2,kids,smart_tv,False,2,0,0,17.1
17,premium,55.9,2,kids,celular,False,1,0,0,73.3
41,estandar_con_anuncios,13.2,2,drama,smart_tv,False,1,1,0,14.1
10,premium,29.2,2,accion,pc,False,7,1,1,2.9
27,premium,41.1,5,drama,smart_tv,False,2,2,0,44.1
19,estandar,37.1,2,anime,smart_tv,False,3,2,1,3.6
59,estandar,43.4,2,drama,celular,False,4,0,0,57.9
3,estandar,23.4,2,documental,celular,False,1,2,0,25.6
51,premium,62.8,1,comedia,pc,True,1,2,0,68.9
17,estandar_con_anuncios,10.1,2,documental,celular,False,7,0,0,9.3
3,estandar,22.2,3,comedia,pc,False,4,0,0,25.6
39,estandar_con_anuncios,13.1,1,kids,smart_tv,False,3,0,0,10.8
41,estandar,54.5,1,comedia,smart_tv,True,0,0,0,55.6
9,estandar_con_anuncios,16.8,1,reality,smart_tv,False,3,0,0,25.5
3,estandar,24.8,2,accion,smart_tv,False,1,0,0,13.6
7,estandar,49.5,3,kids,smart_tv,True,8,0,0,51.6
25,basico,59.2,2,reality,celular,True,0,0,0,62.1
8,estandar,38.8,2,anime,smart_tv,True,7,0,0,37.2
42,estandar,57.0,3,comedia,celular,False,6,1,0,54.9
5,estandar,51.0,2,comedia,celular,False,7,2,1,5.1
47,basico,19.8,1,comedia,celular,False,10,3,0,18.9
52,estandar,39.7,2,comedia,celular,True,2,0,0,41.3
43,premium,29.3,1,accion,smart_tv,True,7,0,0,26.7
56,estandar_con_anuncios,19.6,1,anime,smart_tv,False,8,1,0,26.7
56,estandar_con_anuncios,13.3,1,anime,celular,False,6,0,0,12.7
3,estandar_con_anuncios,12.2,2,accion,celular,False,1,3,1,5.0
21,estandar,25.5,2,documental,smart_tv,True,1,1,0,22.4
45,basico,24.4,2,reality,smart_tv,True,10,0,0,28.5
21,estandar,44.7,2,anime,celular,False,3,0,0,50.6
44,estandar,36.9,2,drama,celular,False,8,0,0,39.7
46,basico,0.9,2,accion,smart_tv,True,0,0,0,0.7
59,premium,38.7,4,reality,smart_tv,False,2,0,0,33.5
20,estandar,13.9,1,comedia,consola,False,3,1,0,18.1
21,estandar_con_anuncios,23.4,2,accion,smart_tv,False,6,0,0,20.2
2,basico,32.7,1,anime,consola,True,2,0,0,36.5
17,basico,30.3,2,anime,smart_tv,True,3,0,0,25.1
17,estandar_con_anuncios,7.6,2,reality,celular,False,3,0,1,1.9
27,estandar_con_anuncios,24.0,2,kids,smart_tv,False,2,0,0,21.0
25,premium,40.0,1,comedia,smart_tv,False,3,1,0,33.1
51,basico,12.2,1,comedia,consola,False,1,0,0,10.6
46,basico,40.0,2,accion,celular,True,4,1,0,36.0
43,estandar,50.9,2,accion,tablet,True,4,0,0,54.6
1,estandar,49.3,1,accion,smart_tv,True,4,0,0,49.9
28,premium,38.2,1,documental,consola,False,0,1,0,30.7
44,estandar,56.4,1,comedia,consola,True,0,1,0,56.1
15,basico,18.8,1,kids,celular,False,5,1,0,14.9
26,basico,37.0,2,comedia,smart_tv,False,2,0,0,41.3
43,premium,40.9,5,comedia,celular,False,1,2,0,47.0
47,estandar,35.6,2,drama,celular,False,15,0,1,1.9
51,premium,12.9,4,drama,tablet,False,0,0,0,13.5
26,estandar_con_anuncios,15.6,2,reality,smart_tv,False,2,1,0,20.5
24,premium,48.4,5,accion,smart_tv,False,1,0,0,47.0
23,estandar,30.8,1,comedia,smart_tv,True,6,1,0,25.6
40,estandar_con_anuncios,47.7,2,kids,celular,False,8,0,0,52.7
25,estandar,19.6,2,accion,tablet,False,1,0,0,15.6
24,estandar,28.5,3,drama,smart_tv,False,2,0,0,27.4
10,estandar_con_anuncios,5.3,2,comedia,celular,False,0,1,0,4.7
29,basico,19.0,2,drama,consola,True,3,1,0,16.6
15,premium,61.7,4,documental,smart_tv,True,3,0,0,58.9
31,estandar_con_anuncios,42.8,2,comedia,smart_tv,False,1,0,0,49.7
53,basico,18.9,2,drama,celular,False,6,0,0,22.7
46,basico,18.0,2,drama,celular,True,3,0,0,21.0
29,basico,10.1,2,accion,smart_tv,False,4,1,0,10.7
58,premium,69.4,1,drama,pc,False,1,0,0,66.2
58,estandar,56.6,2,reality,celular,False,8,0,0,32.6
27,estandar_con_anuncios,18.7,2,drama,consola,False,14,0,0,19.9
46,premium,27.9,3,documental,consola,False,3,0,0,16.5
21,premium,27.2,4,accion,pc,True,4,1,0,17.8
52,estandar_con_anuncios,24.9,2,accion,celular,False,0,1,0,24.2
23,premium,55.2,1,drama,smart_tv,True,6,0,0,57.8
16,estandar_con_anuncios,0.0,1,reality,celular,False,3,2,0,0.0
8,premium,40.8,5,reality,smart_tv,False,1,0,0,52.1
50,estandar,63.4,3,drama,celular,True,3,1,0,68.7
18,estandar,33.2,3,drama,smart_tv,True,3,0,0,31.7
