monto,hora_del_dia,dispositivo,antiguedad_cuenta_dias,ubicacion_nueva,n_tx_ultimas_24h,n_tx_ultimos_7d,intentos_pin_fallidos_24h,categoria_comercio,dia_de_la_semana,monto_vs_promedio_cliente,es_fraude
1597.02,23,mobile_android,705,False,0,3,1,supermercado,mar,0.85,0
1321.18,9,mobile_android,465,True,0,2,0,supermercado,vie,1.16,0
1902.41,19,mobile_android,1623,False,1,4,0,vestimenta,jue,0.82,0
1669.9,20,mobile_android,1757,False,0,8,0,supermercado,sab,1.17,0
2776.94,19,mobile_ios,2196,False,5,6,0,transferencia_p2p,sab,1.06,0
5763.99,20,mobile_android,815,False,1,4,0,transferencia_p2p,mar,1.06,0
783.61,9,mobile_ios,410,True,3,5,1,transferencia_p2p,mar,1.1,0
1743.55,19,web,926,False,2,6,0,cripto,dom,0.81,1
6828.06,10,mobile_android,1034,False,1,7,0,electronicos,sab,1.39,0
2025.32,13,mobile_android,1279,False,0,6,0,supermercado,dom,0.7,0
27787.37,18,mobile_android,372,False,2,10,0,juegos_online,jue,0.45,0
3454.34,16,mobile_ios,558,False,1,4,0,viajes,jue,0.96,0
8598.15,12,mobile_android,1047,False,4,8,1,vestimenta,vie,1.46,1
17042.97,0,mobile_android,457,False,0,8,0,transferencia_p2p,mie,1.04,0
14707.19,21,mobile_ios,434,False,1,4,0,supermercado,sab,1.32,0
7575.23,13,mobile_android,1079,False,1,6,0,cripto,vie,0.56,0
5601.68,7,mobile_android,396,False,0,5,0,vestimenta,sab,1.22,0
8049.35,19,web,1664,False,0,8,0,supermercado,dom,1.32,0
22865.55,19,web,298,False,4,8,0,supermercado,dom,0.83,0
738.87,20,mobile_ios,423,False,1,3,0,vestimenta,sab,0.65,0
6286.06,20,mobile_android,743,False,1,7,0,cripto,dom,0.5,0
1097.29,22,mobile_ios,584,False,0,2,1,cripto,mie,0.58,0
6289.69,21,mobile_android,947,False,2,4,0,gastronomia,mie,0.95,0
5709.09,20,mobile_ios,1485,False,1,5,0,transferencia_p2p,dom,1.16,0
19127.78,9,mobile_ios,784,False,0,4,0,viajes,jue,0.45,0
1811.2,22,mobile_android,694,False,0,6,0,cripto,sab,0.75,0
2432.9,14,mobile_ios,834,True,1,6,0,vestimenta,dom,0.61,0
2063.75,0,mobile_android,597,False,0,2,0,vestimenta,mar,0.43,0
3694.23,20,mobile_ios,202,False,1,2,0,supermercado,mar,1.0,0
1034.0,21,mobile_android,1409,True,2,11,0,vestimenta,mar,1.28,0
6122.1,19,mobile_android,940,False,1,5,0,supermercado,mar,1.29,0
3113.06,19,mobile_ios,999,False,2,4,0,gastronomia,lun,1.05,0
3329.84,19,mobile_android,587,False,2,5,0,supermercado,vie,1.75,0
35347.81,12,web,982,False,0,8,0,gastronomia,vie,1.0,0
1809.81,12,mobile_android,766,False,1,8,1,vestimenta,lun,1.74,0
4676.46,22,web,581,False,0,3,0,gastronomia,vie,1.1,0
11131.95,21,mobile_android,45,False,4,6,0,vestimenta,vie,1.21,0
1114.59,21,mobile_ios,2323,False,4,9,0,vestimenta,sab,0.9,0
3119.63,21,mobile_android,1654,True,1,4,0,supermercado,vie,0.44,0
3660.38,17,mobile_ios,1772,False,0,1,0,supermercado,lun,0.75,0
2570.43,13,mobile_ios,815,False,5,10,0,supermercado,sab,0.77,0
3691.91,13,mobile_ios,964,False,4,6,1,gastronomia,jue,1.32,0
4174.6,14,mobile_android,2369,False,0,5,0,supermercado,sab,1.04,0
4661.55,13,mobile_android,1228,False,2,8,1,supermercado,mar,0.46,0
4218.87,19,mobile_ios,872,False,1,6,1,transferencia_p2p,sab,1.05,0
1101.21,12,mobile_ios,831,False,0,3,1,transferencia_p2p,lun,0.87,0
23785.81,20,mobile_android,803,False,1,5,0,electronicos,lun,1.01,0
4895.12,18,mobile_android,561,False,2,4,0,viajes,vie,1.14,0
1755.86,18,mobile_android,556,False,2,7,0,supermercado,mie,0.96,0
5009.52,17,mobile_ios,2084,False,2,5,1,supermercado,sab,1.03,0
7344.18,9,mobile_ios,216,False,3,7,1,supermercado,mar,1.72,0
9602.75,11,mobile_ios,704,False,3,6,0,supermercado,sab,0.87,0
2511.37,19,mobile_ios,292,False,2,3,0,supermercado,sab,0.69,0
3047.4,20,mobile_android,620,False,0,3,0,viajes,sab,0.53,0
2662.03,12,mobile_ios,930,False,0,4,1,vestimenta,dom,0.45,0
814.0,22,mobile_android,1619,False,2,7,1,cripto,sab,0.39,0
38400.32,13,mobile_android,1232,False,1,3,0,gastronomia,vie,0.88,0
6198.91,16,mobile_android,927,False,0,2,1,supermercado,vie,1.64,0
3070.48,10,mobile_ios,858,False,1,3,0,gastronomia,mie,1.2,0
12847.92,13,mobile_android,625,False,2,3,0,gastronomia,dom,1.65,0
6883.66,8,mobile_android,1536,False,1,6,1,juegos_online,mie,1.86,0
5011.05,22,mobile_android,1393,False,1,3,3,transferencia_p2p,sab,1.44,0
8486.0,0,mobile_ios,407,False,1,3,1,electronicos,jue,0.57,0
1618.27,12,mobile_ios,616,False,0,5,0,gastronomia,vie,1.56,0
1573.64,23,mobile_ios,1756,False,2,4,1,supermercado,dom,1.14,0
11003.77,13,mobile_android,578,False,2,6,0,supermercado,mar,0.81,0
9727.77,22,mobile_android,1177,False,2,7,0,transferencia_p2p,vie,0.92,0
8480.15,12,mobile_ios,196,False,0,1,0,supermercado,sab,0.92,0
2602.93,18,mobile_ios,781,False,2,7,0,transferencia_p2p,dom,0.93,0
2777.55,14,mobile_android,1040,False,3,7,0,supermercado,sab,0.87,0
18819.72,12,web,1956,False,1,3,0,supermercado,vie,0.86,0
4611.57,11,mobile_ios,682,False,0,4,0,vestimenta,jue,0.85,0
8449.14,15,mobile_ios,587,False,2,7,0,transferencia_p2p,mie,0.81,0
2672.19,13,mobile_android,728,False,0,2,1,electronicos,mar,1.52,0
2526.35,10,mobile_android,1726,False,1,6,0,vestimenta,mar,0.9,0
1810.43,9,mobile_ios,824,False,1,5,0,electronicos,vie,0.96,0
37716.2,18,mobile_android,2468,False,1,6,0,supermercado,jue,1.02,0
1390.65,9,mobile_android,1622,False,0,7,0,gastronomia,mie,1.04,0
2301.52,22,mobile_android,912,False,2,9,0,transferencia_p2p,vie,1.38,0
66507.31,13,mobile_android,1294,False,0,6,0,supermercado,sab,1.54,0
5700.58,12,mobile_android,468,False,0,2,0,supermercado,vie,0.69,0
23376.69,22,web,1071,False,2,7,0,viajes,jue,0.79,0
10293.35,13,mobile_android,1699,True,2,4,0,gastronomia,dom,0.66,0
54761.66,21,mobile_ios,254,False,1,4,0,transferencia_p2p,jue,0.78,0
4702.77,20,mobile_android,364,False,1,3,0,vestimenta,jue,0.9,0
2006.03,11,mobile_android,414,False,2,6,0,cripto,mar,0.84,0
2582.37,11,mobile_ios,1637,False,1,6,0,vestimenta,jue,0.76,0
1312.09,20,mobile_ios,951,False,0,1,0,supermercado,jue,1.31,0
3683.86,21,mobile_android,241,False,1,2,0,electronicos,mie,1.21,0
40855.86,16,mobile_android,3138,False,0,0,0,gastronomia,vie,0.26,0
3895.87,0,web,932,False,2,6,0,supermercado,mar,0.59,0
4002.17,22,mobile_ios,1162,False,3,5,0,gastronomia,vie,0.39,0
1514.95,11,mobile_android,1325,False,0,4,0,viajes,jue,0.65,0
6779.11,11,mobile_android,709,True,2,4,0,transferencia_p2p,lun,0.59,0
800.51,20,web,30,False,1,5,0,vestimenta,dom,1.08,0
5492.68,22,mobile_ios,1123,False,2,6,0,supermercado,vie,1.56,0
23881.9,12,mobile_ios,696,False,2,8,0,supermercado,sab,1.09,0
3091.95,19,web,1835,False,1,7,0,gastronomia,mie,0.55,0
12522.06,18,mobile_ios,1478,False,1,6,0,vestimenta,jue,1.64,0
633.64,18,mobile_ios,865,False,2,7,0,viajes,jue,0.74,0
3994.52,15,mobile_ios,282,False,1,7,0,cripto,vie,1.23,0
257.18,20,mobile_android,1499,False,1,6,0,gastronomia,lun,1.05,0
8460.59,22,mobile_ios,1799,False,3,7,0,gastronomia,mie,1.02,0
4771.83,22,mobile_ios,2880,False,2,2,0,electronicos,jue,0.05,0
640.71,18,mobile_android,576,False,2,6,0,vestimenta,sab,0.91,0
4153.88,22,web,1497,False,1,6,0,electronicos,lun,0.82,0
19862.46,12,mobile_android,1357,False,2,8,0,viajes,vie,0.91,0
5242.4,20,mobile_ios,913,False,0,6,0,gastronomia,mie,1.02,0
1962.44,17,mobile_ios,553,False,0,4,0,gastronomia,mie,1.32,0
1896.8,20,mobile_ios,507,False,0,4,0,viajes,sab,1.37,0
1239.25,13,mobile_ios,161,False,0,3,1,gastronomia,jue,0.95,0
5484.88,20,mobile_ios,1108,False,1,4,0,supermercado,vie,0.6,0
3513.57,22,mobile_android,770,False,2,6,0,electronicos,dom,0.61,0
4845.6,19,mobile_android,794,False,1,1,0,gastronomia,mar,0.68,0
1258.85,21,mobile_android,258,False,2,3,1,viajes,lun,0.89,0
12481.21,17,mobile_ios,628,False,0,5,0,cripto,jue,0.52,0
1324.13,1,mobile_android,28,True,2,6,2,cripto,vie,1.88,1
5019.3,21,mobile_ios,746,False,1,7,0,electronicos,mie,1.19,0
1273.57,21,mobile_ios,902,False,0,3,0,supermercado,jue,1.07,0
9037.7,21,web,1092,False,4,7,0,supermercado,dom,0.31,0
4101.57,13,mobile_android,2137,False,1,9,0,supermercado,mie,0.58,0
6939.72,18,mobile_ios,2034,False,2,5,0,supermercado,vie,0.72,0
4195.03,22,mobile_android,378,False,1,6,0,supermercado,sab,1.15,0
5330.88,23,mobile_android,1928,False,1,3,0,transferencia_p2p,sab,1.11,0
3744.42,12,web,133,False,0,8,0,transferencia_p2p,sab,0.7,0
1276.86,12,mobile_ios,481,False,1,5,0,transferencia_p2p,lun,1.12,0
4236.6,19,mobile_android,1420,False,2,7,0,viajes,mar,1.46,0
3437.47,19,mobile_android,294,True,0,4,1,electronicos,lun,2.35,1
7013.68,23,mobile_ios,1565,False,2,5,2,gastronomia,mar,0.96,0
3580.29,0,mobile_ios,1447,True,3,6,0,supermercado,sab,0.91,0
1877.61,11,web,1388,False,2,8,0,supermercado,vie,1.88,0
1957.02,19,mobile_ios,97,False,2,6,0,gastronomia,vie,1.02,0
3075.3,11,mobile_ios,1069,False,0,1,0,transferencia_p2p,sab,1.22,0
1614.95,22,mobile_android,1457,False,0,3,0,supermercado,mar,1.48,0
2752.66,15,web,1032,False,0,4,0,viajes,lun,1.01,0
4699.42,9,mobile_android,519,False,2,3,0,viajes,mie,0.78,0
3772.81,17,mobile_ios,689,False,1,7,0,transferencia_p2p,lun,0.7,0
2852.94,11,mobile_ios,2165,False,1,7,1,electronicos,sab,0.74,0
1292.52,12,mobile_android,766,False,3,6,0,vestimenta,lun,0.33,0
14007.15,19,mobile_android,672,False,1,5,0,gastronomia,dom,1.25,0
4062.88,21,mobile_android,726,False,2,9,1,cripto,sab,1.17,0
910.1,11,mobile_android,285,False,2,7,0,supermercado,sab,1.47,0
2778.32,12,mobile_android,185,False,0,4,0,juegos_online,lun,0.67,0
2257.28,22,mobile_android,927,False,2,7,0,supermercado,lun,0.28,0
4173.88,21,web,1365,False,1,5,0,viajes,lun,0.91,0
3638.9,13,mobile_android,868,False,0,3,0,gastronomia,lun,0.49,0
5974.6,12,mobile_ios,1889,False,1,3,0,supermercado,jue,0.57,0
3388.02,20,web,490,False,1,6,0,supermercado,lun,1.41,0
2739.79,23,mobile_android,280,False,0,3,0,supermercado,dom,0.49,0
1301.79,11,mobile_ios,378,False,0,6,0,viajes,jue,1.59,0
1079.44,13,mobile_android,1083,False,2,6,0,electronicos,mie,1.57,0
9931.59,21,mobile_android,2056,False,1,3,0,transferencia_p2p,vie,0.49,0
4735.06,10,mobile_ios,1700,False,1,3,1,vestimenta,mie,0.84,0
15952.86,12,web,463,False,1,2,1,transferencia_p2p,dom,0.81,0
22913.97,14,mobile_android,2249,False,1,5,0,viajes,sab,1.55,0
6072.43,13,mobile_ios,305,False,2,9,1,vestimenta,lun,1.0,0
4003.11,15,mobile_android,1961,False,0,7,0,electronicos,lun,1.06,0
2494.48,14,mobile_android,837,False,0,4,0,electronicos,jue,0.86,0
1547.62,13,mobile_android,1717,False,0,3,0,supermercado,jue,0.5,0
7522.91,12,mobile_ios,505,False,1,3,0,transferencia_p2p,mar,1.04,0
1273.89,9,mobile_ios,384,False,3,6,0,supermercado,sab,0.62,0
5444.93,15,web,1187,False,1,6,0,gastronomia,sab,1.43,0
2535.71,18,mobile_android,915,False,2,5,1,transferencia_p2p,lun,0.55,0
1256.95,10,mobile_android,1347,False,1,6,0,gastronomia,mie,0.8,0
6802.77,21,mobile_ios,1379,False,0,5,0,supermercado,vie,1.46,0
831.19,13,mobile_ios,271,False,1,4,0,supermercado,lun,1.38,0
12544.66,13,mobile_ios,249,False,2,5,0,gastronomia,sab,1.04,0
13417.7,21,mobile_ios,714,False,2,5,0,vestimenta,vie,1.8,0
6514.92,12,web,471,False,0,4,0,vestimenta,jue,1.72,0
17662.26,15,mobile_ios,490,False,0,5,0,supermercado,lun,0.83,0
251.43,10,mobile_android,907,False,1,5,0,supermercado,lun,1.89,0
4059.04,9,mobile_android,648,False,0,7,0,electronicos,dom,0.7,0
1181.78,11,web,826,False,0,1,0,juegos_online,sab,0.82,0
4976.79,12,web,230,False,0,0,0,supermercado,vie,0.83,0
885.79,17,mobile_android,784,False,3,9,0,juegos_online,vie,1.12,0
5119.39,20,mobile_android,283,False,0,3,0,juegos_online,vie,0.84,0
21007.77,12,mobile_android,1249,True,0,8,0,cripto,lun,1.6,0
6427.94,13,web,655,False,1,4,0,supermercado,dom,0.53,0
6770.79,21,mobile_android,241,False,1,2,1,supermercado,mar,1.45,0
4328.63,9,mobile_ios,2692,False,0,4,0,supermercado,sab,0.9,0
5034.1,13,mobile_android,707,False,1,8,0,transferencia_p2p,lun,0.98,0
5298.92,19,mobile_ios,2155,False,1,4,0,gastronomia,sab,0.5,0
7904.83,11,web,1278,False,2,9,0,vestimenta,mie,0.3,0
5415.57,16,mobile_android,1055,False,1,6,0,electronicos,sab,0.86,0
5283.4,20,web,437,False,2,3,0,cripto,mar,1.52,0
8297.86,13,mobile_ios,757,False,1,7,0,gastronomia,dom,0.54,0
7473.31,14,web,1001,False,1,4,0,supermercado,vie,1.57,0
3512.82,19,mobile_android,1104,False,2,3,0,vestimenta,vie,1.62,0
267.15,13,mobile_ios,351,False,3,6,0,vestimenta,mie,1.51,0
1211.17,13,web,700,False,1,6,0,supermercado,mar,0.57,0
12093.46,21,mobile_ios,2209,False,0,7,0,supermercado,mie,0.92,0
1613.61,13,mobile_ios,1249,False,1,3,0,gastronomia,vie,0.59,0
2224.15,18,mobile_ios,1844,False,0,1,1,juegos_online,mar,0.97,0
5114.71,20,mobile_android,1848,False,2,5,0,transferencia_p2p,sab,0.82,0
11725.7,11,mobile_ios,801,False,0,2,2,supermercado,mie,1.0,0
3017.94,22,mobile_android,888,False,1,6,0,supermercado,mie,1.44,0
4224.8,13,mobile_android,237,False,0,2,0,transferencia_p2p,lun,0.98,0
535.49,16,web,562,False,2,9,0,gastronomia,dom,1.01,0
6486.01,19,mobile_android,495,False,1,6,0,juegos_online,sab,0.93,0
1182.13,9,mobile_android,212,False,0,7,0,juegos_online,lun,0.37,0
539.28,11,mobile_android,1363,False,0,3,0,vestimenta,vie,0.87,0
208.2,20,mobile_ios,924,False,0,5,0,electronicos,jue,1.04,0
2510.12,0,mobile_android,2147,False,1,3,1,electronicos,sab,1.16,0
8467.05,11,mobile_android,397,False,0,4,0,juegos_online,mie,1.01,0
1207.44,11,mobile_android,1909,False,1,3,0,gastronomia,vie,1.18,0
10834.3,15,mobile_android,899,False,1,5,0,electronicos,vie,1.48,0
1942.08,12,mobile_android,1553,False,3,6,1,vestimenta,mie,1.61,0
1266.17,21,mobile_ios,1874,False,1,2,0,gastronomia,mar,0.66,0
842.66,12,web,2285,True,3,8,0,supermercado,dom,1.05,0
9519.46,13,mobile_ios,3650,False,1,5,1,electronicos,jue,0.86,0
2324.18,20,mobile_ios,1746,False,0,3,0,supermercado,lun,1.28,0
2847.62,18,mobile_android,1429,False,1,6,0,supermercado,mar,1.36,0
10710.82,11,mobile_android,384,False,3,14,0,gastronomia,lun,1.22,0
20000.0,21,mobile_ios,240,True,5,10,1,supermercado,dom,2.01,1
3769.18,23,mobile_android,656,False,0,3,0,electronicos,dom,0.72,0
524.88,18,mobile_ios,661,False,1,5,0,gastronomia,mie,1.04,0
1693.66,22,mobile_android,1119,False,2,5,0,viajes,sab,0.55,0
2250.9,21,mobile_android,2447,False,0,4,0,supermercado,jue,1.11,0
2078.18,17,mobile_android,2563,False,1,5,0,supermercado,mie,1.0,0
3856.09,11,mobile_android,2055,False,1,4,0,transferencia_p2p,jue,0.86,0
6654.22,19,mobile_android,873,True,1,4,0,electronicos,mar,1.01,0
9852.6,21,mobile_android,797,False,1,6,0,gastronomia,vie,0.37,0
318.5,19,mobile_ios,766,False,2,4,1,vestimenta,lun,0.89,0
18702.74,1,mobile_android,791,False,0,4,0,supermercado,jue,0.99,0
2230.87,21,mobile_android,802,False,1,5,0,vestimenta,lun,1.06,0
1796.55,11,mobile_ios,2140,False,0,3,0,vestimenta,sab,0.6,0
6224.8,10,mobile_android,1194,False,1,7,0,viajes,mar,1.15,0
5064.16,1,mobile_android,1405,False,1,5,0,supermercado,dom,0.97,0
170.07,19,mobile_ios,497,False,2,7,0,gastronomia,mar,1.14,0
2919.11,11,mobile_android,2471,False,4,6,0,juegos_online,jue,1.36,0
17469.41,7,mobile_ios,1072,False,2,6,1,gastronomia,sab,0.2,0
3540.12,10,mobile_android,310,False,1,5,0,supermercado,dom,1.42,0
8132.19,11,mobile_ios,497,False,1,5,0,supermercado,lun,1.37,0
2412.36,12,web,413,False,1,6,1,supermercado,dom,1.79,0
2308.77,13,mobile_ios,682,False,2,11,0,supermercado,sab,1.11,0
1645.76,18,web,768,False,0,4,0,supermercado,lun,1.08,0
3300.82,12,mobile_android,592,False,1,3,0,supermercado,sab,1.15,0
4579.69,18,mobile_android,614,False,1,4,0,gastronomia,lun,0.88,0
1620.54,11,mobile_ios,641,False,3,8,0,transferencia_p2p,jue,1.24,0
4069.81,10,web,1140,False,1,4,0,electronicos,mar,0.98,0
22393.52,12,mobile_android,423,False,2,5,1,transferencia_p2p,mar,0.41,0
5768.8,20,mobile_ios,421,False,0,5,1,gastronomia,mar,0.35,0
1875.87,19,mobile_ios,752,True,0,3,1,vestimenta,sab,1.0,0
4260.1,23,mobile_ios,635,False,1,2,0,supermercado,mie,1.2,0
39442.62,14,mobile_ios,729,False,0,3,0,juegos_online,vie,0.55,0
4013.48,22,mobile_ios,1080,False,0,6,0,gastronomia,sab,0.89,0
5000.0,17,mobile_android,290,False,3,9,1,gastronomia,jue,3.18,1
3889.48,12,mobile_ios,1885,False,2,5,0,vestimenta,dom,0.4,0
5511.63,20,mobile_android,118,False,0,8,0,electronicos,jue,0.81,0
8711.06,21,mobile_ios,1725,False,1,8,1,electronicos,sab,1.27,0
3559.28,0,mobile_ios,929,False,1,7,0,gastronomia,vie,1.43,0
3073.12,13,mobile_android,1289,False,1,3,0,vestimenta,vie,0.63,0
1082.77,13,mobile_android,644,False,0,5,0,electronicos,lun,0.58,0
4364.74,18,mobile_android,728,False,3,11,0,supermercado,sab,0.87,0
4401.24,11,mobile_ios,306,False,0,7,0,vestimenta,vie,1.21,0
8679.36,14,mobile_ios,908,False,0,6,0,gastronomia,vie,0.93,0
3859.43,10,mobile_ios,949,False,0,4,1,gastronomia,dom,1.31,0
1184.68,19,mobile_android,657,False,1,13,1,vestimenta,sab,1.34,0
4832.26,12,mobile_ios,1025,False,1,6,1,supermercado,mie,1.32,0
12085.11,21,mobile_ios,107,False,1,6,0,viajes,mar,0.96,0
8837.5,18,mobile_android,234,False,0,6,0,supermercado,mie,1.3,0
2662.33,11,mobile_android,965,False,1,3,0,gastronomia,lun,0.86,0
943.79,20,mobile_ios,1152,False,2,8,0,cripto,jue,1.09,0
27863.51,11,web,246,False,0,1,0,electronicos,mie,0.61,0
5252.88,8,mobile_ios,836,False,2,4,0,supermercado,dom,0.05,0
4936.62,11,mobile_ios,856,False,0,5,0,supermercado,vie,0.86,0
9893.9,12,mobile_android,535,False,1,3,0,transferencia_p2p,dom,0.41,0
568.89,20,mobile_android,809,False,2,5,1,supermercado,dom,1.52,0
2724.21,22,mobile_ios,748,False,3,8,0,supermercado,mie,0.44,0
4347.67,13,mobile_android,466,False,2,6,0,gastronomia,jue,0.65,0
2553.71,20,mobile_ios,2017,False,1,2,0,juegos_online,dom,1.36,0
4602.24,9,mobile_ios,1443,False,0,4,1,transferencia_p2p,mar,1.46,0
1860.97,13,mobile_ios,632,False,1,5,1,supermercado,vie,0.39,0
1153.78,14,mobile_android,2063,False,2,5,0,gastronomia,mar,1.34,0
6871.59,19,mobile_ios,1171,False,3,8,0,supermercado,sab,1.27,0
2423.39,17,mobile_ios,1972,False,1,5,0,supermercado,jue,1.1,0
2014.29,17,mobile_ios,1001,False,2,6,0,vestimenta,sab,0.65,0
7293.0,13,mobile_ios,2925,False,3,6,1,supermercado,mie,1.08,0
970.49,14,mobile_ios,570,False,1,7,0,juegos_online,mar,1.46,0
1806.16,16,mobile_android,1133,False,0,3,0,juegos_online,sab,0.66,0
4747.24,0,mobile_ios,1191,False,0,3,2,gastronomia,lun,1.34,0
22974.74,18,web,1744,False,0,4,0,vestimenta,lun,0.98,0
3837.08,13,mobile_android,2208,False,0,4,0,gastronomia,mar,1.11,0
4608.1,19,mobile_android,1591,False,1,4,0,gastronomia,lun,0.84,0
4852.7,21,mobile_android,257,False,1,5,0,vestimenta,lun,1.57,0
27504.61,22,mobile_android,775,False,1,4,0,viajes,lun,0.43,0
14311.01,11,mobile_ios,530,False,4,7,0,viajes,mie,0.73,0
3174.95,13,web,51,False,3,4,0,cripto,mie,1.04,1
5034.21,20,mobile_ios,1547,False,2,6,0,vestimenta,dom,1.25,0
3262.55,13,web,1651,False,1,7,0,gastronomia,dom,1.59,0
2417.17,1,mobile_android,967,False,1,7,0,electronicos,dom,1.56,0
1381.05,13,mobile_android,90,False,0,7,0,supermercado,vie,0.56,0
3589.13,20,mobile_android,665,False,1,6,1,transferencia_p2p,vie,1.8,0
957.46,19,mobile_android,460,False,0,4,0,vestimenta,dom,1.27,0
519.41,0,mobile_android,195,False,0,1,0,gastronomia,vie,1.22,0
41045.97,18,mobile_android,1578,False,1,4,0,electronicos,vie,1.12,0
1277.57,13,mobile_android,1214,False,0,5,0,viajes,lun,1.26,0
4450.85,10,mobile_android,784,False,1,4,0,electronicos,sab,1.0,0
10820.71,13,mobile_android,1466,False,2,7,0,electronicos,sab,1.04,0
2410.68,9,mobile_android,501,False,1,7,0,electronicos,sab,0.66,0
1935.1,10,mobile_ios,362,False,0,2,0,gastronomia,mar,1.21,0
2114.35,12,mobile_ios,892,False,0,4,0,electronicos,lun,1.43,0
5303.22,15,mobile_ios,825,False,2,3,0,gastronomia,dom,1.37,0
9711.57,21,mobile_ios,781,False,2,5,0,electronicos,lun,1.43,0
2685.6,21,mobile_android,1208,False,1,8,1,gastronomia,vie,1.09,0
2738.36,20,mobile_android,862,False,2,7,0,gastronomia,mie,0.67,0
3241.53,23,mobile_android,1504,False,2,4,0,supermercado,jue,0.78,0
6855.85,10,mobile_ios,287,False,1,4,0,transferencia_p2p,dom,1.1,0
3070.49,16,mobile_android,439,False,0,4,0,gastronomia,mar,1.16,0
3784.17,1,web,1076,False,1,7,0,supermercado,mar,1.12,0
10937.8,20,mobile_ios,296,False,1,1,0,supermercado,mie,1.33,0
2678.24,14,mobile_ios,643,False,2,4,1,supermercado,jue,0.72,0
2819.11,14,mobile_android,966,False,1,4,0,supermercado,lun,0.62,0
1441.54,16,mobile_ios,699,False,1,3,0,supermercado,jue,0.54,0
580.27,10,mobile_ios,505,False,1,10,0,electronicos,vie,0.95,0
6559.93,12,mobile_ios,578,False,1,5,0,electronicos,mar,1.27,0
433.03,11,mobile_ios,1144,False,2,6,0,gastronomia,mar,1.3,0
1688.58,18,mobile_android,537,False,3,9,0,gastronomia,vie,0.37,0
4279.21,8,mobile_ios,603,False,1,3,0,supermercado,mar,0.8,0
6790.58,10,mobile_ios,582,False,0,2,0,cripto,mar,1.33,0
1356.98,22,web,1273,False,2,5,0,vestimenta,lun,1.44,0
505.89,17,mobile_android,609,True,3,6,0,viajes,sab,0.97,0
8256.57,15,mobile_android,2446,True,2,5,0,supermercado,vie,0.91,0
2279.19,11,mobile_ios,1428,False,1,5,0,supermercado,sab,1.07,0
4184.37,20,web,1504,False,2,7,0,supermercado,mie,0.75,0
4543.15,8,mobile_android,995,False,0,0,0,supermercado,sab,0.81,0
2502.52,22,mobile_ios,642,False,3,5,0,supermercado,mar,0.41,0
2829.97,20,mobile_ios,1888,False,2,8,0,supermercado,lun,0.93,0
2848.22,11,mobile_android,812,False,0,4,0,supermercado,vie,0.92,0
20510.61,12,mobile_ios,1585,False,0,4,0,viajes,vie,1.73,0
5099.8,19,mobile_ios,387,False,0,2,0,gastronomia,jue,1.37,0
5262.47,20,mobile_ios,1734,False,1,4,0,supermercado,sab,1.08,0
5246.75,14,mobile_ios,1681,False,0,3,0,supermercado,vie,1.33,0
1918.9,18,web,886,False,1,3,0,supermercado,vie,0.69,0
2009.42,12,mobile_android,987,False,0,8,1,vestimenta,dom,1.08,0
7082.52,8,mobile_android,1688,False,1,3,0,juegos_online,sab,1.05,0
4661.1,13,mobile_ios,974,False,0,5,0,gastronomia,mar,0.67,0
