vuelo_id,aerolinea,ciudad_origen,ciudad_destino,pais_origen,tipo_ruta,clase_servicio,mes,dia_semana,duracion_vuelo_min,distancia_km,retraso_salida_min,retraso_llegada_min,cancelado,causa_retraso,precio_boleto_usd,ocupacion_pct,num_pasajeros,satisfaccion_cliente,puntualidad_historica_pct
VL10532,Avianca,Cartagena,Bogotá,Colombia,Doméstica,Ejecutiva,8,Jueves,65,650,1,0,False,,174.34,83.8,184,,73.7
VL11270,Copa Airlines,Buenos Aires,Lima,Argentina,Internacional,Económica,11,Jueves,240,3000,0,0,False,,281.0,80.1,144,3.3,81.5
VL11382,Aeroméxico,Cartagena,Bogotá,Colombia,Doméstica,Primera,4,Miércoles,54,650,0,0,False,,156.71,91.5,274,3.8,75.0
VL10478,Aeroméxico,Cartagena,Bogotá,Colombia,Doméstica,Económica,5,Miércoles,50,650,0,0,False,,90.9,100.0,180,4.1,75.3
VL10219,Volaris,Bogotá,Quito,Colombia,Internacional,Económica,2,Martes,105,1000,52,44,False,Mecánico,34.69,69.1,124,4.3,68.5
VL11297,LATAM,Ciudad Mx,Cancún,México,Doméstica,Económica,11,Jueves,142,1600,0,0,False,,154.44,73.3,132,4.7,80.7
VL10132,Viva Air,Ciudad Mx,Cancún,México,Doméstica,Económica,3,Viernes,120,1600,29,23,False,Tripulación,160.4,99.2,179,3.9,61.5
VL11971,Sky Airline,Bogotá,Quito,Colombia,Internacional,Económica,2,Domingo,104,1000,0,5,False,,73.56,88.8,160,2.7,73.6
VL12260,LATAM,Ciudad Mx,Miami,México,Internacional,Económica,12,Miércoles,164,2100,4,7,False,,188.66,73.0,131,3.7,78.6
VL12364,Aeroméxico,Santiago,São Paulo,Chile,Internacional,Económica,7,Miércoles,208,2700,0,7,False,,240.07,58.8,106,3.9,74.2
VL12548,Avianca,Ciudad Mx,Bogotá,México,Internacional,Económica,1,Viernes,265,3200,0,3,False,,301.47,65.8,118,2.6,72.9
VL10272,Volaris,Lima,Santiago,,Internacional,Económica,7,Sábado,218,2400,0,5,False,,322.97,87.7,158,3.4,67.3
VL11354,Aeroméxico,Medellín,Ciudad Mx,,Internacional,Económica,12,Jueves,273,3400,0,7,False,,376.7,64.3,116,3.4,75.1
VL12540,LATAM,Cancún,Bogotá,México,Internacional,Económica,9,Sábado,254,3500,44,40,False,Tripulación,490.61,90.2,162,3.8,77.4
VL12279,Avianca,Bogotá,Medellín,Colombia,Doméstica,Económica,12,Sábado,49,580,0,0,False,,79.95,90.4,163,3.1,71.1
VL12690,Avianca,Medellín,Ciudad Mx,Colombia,Internacional,Económica,6,Miércoles,295,3400,24,29,False,Operacional,411.23,81.0,146,2.4,72.1
VL12271,LATAM,Ciudad Mx,Bogotá,México,Internacional,Económica,7,Lunes,276,3200,0,0,False,,344.95,68.0,122,3.4,80.5
VL10012,Avianca,Bogotá,Quito,Colombia,Internacional,Primera,2,Lunes,89,1000,0,6,False,,301.92,59.0,177,,72.3
VL11775,Volaris,Bogotá,Miami,Colombia,Internacional,Económica,6,Lunes,298,3800,552,479,True,Aeropuerto,269.76,69.9,126,2.7,68.9
VL11625,Copa Airlines,Buenos Aires,Lima,Argentina,Internacional,Económica,2,Sábado,234,3000,5,9,False,,195.06,89.5,161,2.4,84.7
VL11721,LATAM,Ciudad Mx,Cancún,México,Doméstica,Ejecutiva,7,Miércoles,125,1600,0,7,False,,316.43,55.6,122,2.1,80.8
VL12758,Aeroméxico,Buenos Aires,Lima,Argentina,Internacional,Económica,5,Domingo,229,3000,0,0,False,,413.3,68.7,124,4.4,74.9
VL10077,LATAM,Bogotá,Medellín,Colombia,Doméstica,Económica,7,Sábado,47,580,0,9,False,,30.0,100.0,180,3.3,80.7
VL12901,Aeroméxico,Ciudad Mx,Miami,México,Internacional,Ejecutiva,1,Domingo,171,2100,0,0,False,,490.42,78.8,173,5.0,74.2
VL12112,Copa Airlines,Santiago,Lima,Chile,Internacional,Primera,3,Lunes,209,2400,0,0,False,,1024.34,69.1,207,5.0,83.9
VL12041,Copa Airlines,Santiago,São Paulo,,Internacional,Económica,12,Sábado,238,2700,4,14,False,,203.52,93.2,168,4.7,82.6
VL10723,LATAM,Buenos Aires,Lima,Argentina,Internacional,Económica,4,Sábado,234,3000,0,9,False,,383.04,74.6,134,4.1,78.9
VL10314,LATAM,Bogotá,Quito,Colombia,Internacional,Económica,5,Viernes,92,1000,0,0,False,,71.68,64.3,116,3.9,79.9
VL12723,LATAM,Lima,Buenos Aires,Perú,Internacional,Económica,8,Viernes,235,3100,58,60,False,Operacional,264.64,71.9,129,,81.4
VL11549,Volaris,Cancún,Bogotá,México,Internacional,Económica,6,Martes,279,3500,0,6,False,,421.72,77.9,140,4.0,68.7
VL10932,Copa Airlines,Cartagena,Bogotá,Colombia,Doméstica,Económica,1,Martes,52,650,0,6,False,,60.66,92.8,167,3.2,82.3
VL10731,Viva Air,Bogotá,Quito,Colombia,Internacional,Económica,4,Sábado,105,1000,5,0,False,,,77.7,140,4.0,64.1
VL11692,Avianca,Ciudad Mx,Bogotá,México,Internacional,Económica,2,Domingo,286,3200,73,78,False,Aeropuerto,376.93,80.9,146,3.6,71.1
VL12842,LATAM,Guadalajara,Ciudad Mx,México,Doméstica,Económica,8,Domingo,61,550,0,2,False,,58.02,68.2,123,3.1,76.5
VL11054,Volaris,Cartagena,Bogotá,Colombia,Doméstica,Económica,3,Viernes,64,650,0,2,False,,47.75,79.3,143,1.5,70.2
VL12124,Sky Airline,Cartagena,Bogotá,Colombia,Doméstica,Económica,2,Lunes,62,650,0,0,False,,52.94,91.5,165,5.0,71.9
VL10947,Copa Airlines,Lima,Santiago,Perú,Internacional,Económica,10,Miércoles,203,2400,19,31,False,Mecánico,173.44,75.8,136,3.9,80.9
VL11166,Avianca,Bogotá,Quito,Colombia,Internacional,Ejecutiva,11,Jueves,105,1000,0,7,False,,202.51,83.6,184,4.6,69.6
VL11579,Copa Airlines,Medellín,Ciudad Mx,Colombia,Internacional,Económica,5,Sábado,255,3400,0,15,False,,409.2,87.8,158,3.2,83.5
VL12134,Viva Air,Buenos Aires,Lima,Argentina,Internacional,Económica,12,Viernes,248,3000,47,34,False,Tripulación,344.2,93.9,169,3.0,63.3
VL10163,Aeroméxico,Medellín,Ciudad Mx,Colombia,Internacional,Económica,3,Jueves,267,3400,0,0,False,,334.31,74.6,134,4.2,73.8
VL10050,LATAM,Cartagena,Bogotá,Colombia,Doméstica,Económica,11,Sábado,74,650,16,21,False,Clima,90.17,77.2,139,3.6,80.2
VL10951,Sky Airline,Cancún,Bogotá,México,Internacional,Económica,6,Sábado,278,3500,38,39,False,Mecánico,267.38,95.8,172,2.2,72.7
VL11406,Viva Air,Bogotá,Quito,Colombia,Internacional,Económica,4,Miércoles,92,1000,0,18,False,,89.37,80.3,145,4.0,62.6
VL10488,LATAM,Guadalajara,Ciudad Mx,México,Doméstica,Económica,3,Lunes,55,550,0,0,False,,76.39,87.6,158,3.6,78.8
VL11832,Copa Airlines,Santiago,São Paulo,Chile,Internacional,Económica,2,Jueves,209,2700,299,320,False,Clima,256.15,64.1,115,3.0,81.2
VL12498,Aeroméxico,Cartagena,Bogotá,Colombia,Doméstica,Económica,4,Miércoles,68,650,0,8,False,,46.03,86.4,156,3.0,74.8
VL12759,Avianca,Bogotá,Medellín,Colombia,Doméstica,Económica,3,Viernes,65,580,15,26,False,,40.41,76.3,137,3.5,75.3
VL10187,Avianca,Santiago,São Paulo,Chile,Internacional,Económica,6,Lunes,222,2700,0,0,False,,313.17,71.2,128,4.7,75.7
VL11796,LATAM,Buenos Aires,Lima,Argentina,Internacional,Ejecutiva,7,Jueves,253,3000,15,11,False,,748.47,94.7,208,4.2,76.6
VL10338,Copa Airlines,Lima,Buenos Aires,Perú,Internacional,Económica,9,Miércoles,223,3100,0,0,False,,167.08,93.0,167,4.2,82.7
VL12243,Sky Airline,Cartagena,Bogotá,Colombia,Doméstica,Económica,12,Jueves,62,650,0,0,False,,71.4,82.1,148,3.4,71.2
VL12481,Avianca,Lima,Santiago,Perú,Internacional,Económica,8,Jueves,172,2400,70,74,True,Aeropuerto,216.87,65.3,118,2.8,70.9
VL10134,LATAM,Guadalajara,Ciudad Mx,México,Doméstica,Económica,5,Sábado,44,550,0,4,False,,58.61,98.8,178,3.1,78.5
VL12776,Copa Airlines,Bogotá,Medellín,Colombia,Doméstica,Primera,2,Martes,77,580,0,0,False,,189.2,80.9,243,4.2,82.3
VL12311,Copa Airlines,Lima,Santiago,Perú,Internacional,Económica,9,Viernes,217,2400,0,0,False,,199.1,73.7,133,3.9,81.5
VL10405,Volaris,Lima,Santiago,Perú,Internacional,Ejecutiva,10,Jueves,188,2400,0,7,False,,760.99,70.7,156,3.6,69.6
VL11784,Aeroméxico,Cancún,Bogotá,México,Internacional,Primera,6,Sábado,285,3500,13,0,False,,1686.23,67.1,201,3.1,76.8
VL11428,LATAM,Cancún,Bogotá,México,Internacional,Económica,12,Lunes,275,3500,0,0,False,,339.81,71.6,129,4.8,79.4
VL10736,Copa Airlines,Ciudad Mx,Bogotá,México,Internacional,Primera,8,Sábado,248,3200,0,0,False,,1664.64,74.2,223,4.3,84.4
VL11907,LATAM,Ciudad Mx,Bogotá,México,Internacional,Ejecutiva,12,Jueves,273,3200,0,9,False,,881.24,89.8,198,3.1,79.5
VL10595,Copa Airlines,Lima,Buenos Aires,Perú,Internacional,Económica,1,Jueves,245,3100,0,0,False,,197.46,75.4,136,4.8,81.4
VL11381,LATAM,Ciudad Mx,Bogotá,México,Internacional,Económica,6,Sábado,235,3200,29,6,False,Tripulación,242.9,81.2,146,3.8,77.8
VL11259,Aeroméxico,Santiago,São Paulo,Chile,Internacional,Económica,10,Lunes,214,2700,6,12,False,,169.11,82.4,148,3.0,75.0
VL12530,Aeroméxico,Cancún,Bogotá,México,Internacional,Ejecutiva,7,Domingo,290,3500,0,0,False,,879.35,95.4,210,4.1,75.7
VL10799,Aeroméxico,Guadalajara,Ciudad Mx,México,Doméstica,Económica,11,Domingo,42,550,0,21,False,,72.96,69.9,126,3.3,74.3
VL12641,Volaris,Ciudad Mx,Cancún,México,Doméstica,Económica,5,Sábado,118,1600,12,23,False,,157.19,83.9,151,3.2,70.7
VL12051,Volaris,Lima,Buenos Aires,Perú,Internacional,Económica,10,Martes,255,3100,54,43,False,Clima,347.86,76.6,138,2.7,68.5
VL11391,Aeroméxico,Bogotá,Medellín,Colombia,Doméstica,Económica,11,Viernes,59,580,0,2,False,,67.33,84.2,152,2.6,72.9
VL11288,Avianca,Bogotá,Medellín,Colombia,Doméstica,Primera,11,Viernes,62,580,0,0,False,,294.18,92.7,278,5.0,74.0
VL11859,Sky Airline,Buenos Aires,Lima,Argentina,Internacional,Económica,1,Viernes,232,3000,0,4,False,,,80.3,145,2.7,74.4
VL10115,Sky Airline,Lima,Santiago,,Internacional,Económica,4,Viernes,196,2400,21,22,False,Tripulación,311.37,86.2,155,2.3,73.7
VL11573,Volaris,Lima,Santiago,Perú,Internacional,Ejecutiva,7,Jueves,161,2400,30,44,False,Aeropuerto,512.67,61.6,136,3.7,70.0
VL11181,Copa Airlines,Bogotá,Miami,Colombia,Internacional,Económica,10,Viernes,305,3800,0,11,False,,538.55,82.2,148,3.1,81.5
VL10231,Copa Airlines,Medellín,Ciudad Mx,Colombia,Internacional,Ejecutiva,3,Martes,282,3400,12,12,False,,563.44,45.9,101,2.6,81.0
VL12233,Aeroméxico,Bogotá,Quito,Colombia,Internacional,Económica,7,Viernes,71,1000,75,52,False,Operacional,88.04,78.8,142,2.5,75.9
VL10706,Volaris,Bogotá,Miami,Colombia,Internacional,Ejecutiva,3,Lunes,304,3800,0,0,False,,818.48,86.5,190,3.3,66.5
VL10541,Volaris,Santiago,São Paulo,Chile,Internacional,Ejecutiva,7,Jueves,212,2700,12,27,False,,533.13,74.1,163,5.0,68.4
VL10584,Aeroméxico,Cancún,Bogotá,México,Internacional,Económica,1,Domingo,302,3500,9,3,False,,363.35,68.2,123,4.3,76.3
VL10373,Copa Airlines,Cancún,Bogotá,México,Internacional,Ejecutiva,8,Domingo,280,3500,0,2,False,,638.08,74.6,164,3.4,79.0
VL10612,Avianca,Cancún,Bogotá,México,Internacional,Económica,7,Domingo,257,3500,7,10,False,,427.44,82.5,148,2.2,70.5
VL11462,Viva Air,Ciudad Mx,Cancún,México,Doméstica,Ejecutiva,4,Domingo,147,1600,35,33,False,Aeropuerto,459.48,76.8,169,3.6,66.5
VL10500,Avianca,Buenos Aires,Lima,Argentina,Internacional,Económica,7,Viernes,209,3000,0,0,False,,210.57,82.1,148,4.6,71.6
VL10345,Volaris,Santiago,São Paulo,Chile,Internacional,Económica,6,Domingo,215,2700,9,25,False,,370.78,74.4,134,2.6,69.1
VL12750,Avianca,Ciudad Mx,Bogotá,México,Internacional,Económica,1,Viernes,287,3200,8,0,False,,433.73,58.5,105,4.0,70.5
VL11670,Avianca,Ciudad Mx,Bogotá,México,Internacional,Ejecutiva,1,Domingo,244,3200,0,0,False,,524.21,100.0,220,4.6,71.1
VL10351,Aeroméxico,Bogotá,Quito,Colombia,Internacional,Económica,3,Jueves,89,1000,60,62,False,Clima,46.55,93.3,168,2.7,75.4
VL10523,LATAM,Bogotá,Quito,Colombia,Internacional,Económica,9,Sábado,101,1000,0,8,False,,71.77,70.2,126,2.4,80.2
VL12930,LATAM,Santiago,São Paulo,Chile,Internacional,Económica,9,Sábado,239,2700,1,0,False,,284.14,93.3,168,5.0,78.4
VL12692,Copa Airlines,Bogotá,Medellín,Colombia,Doméstica,Económica,2,Sábado,60,580,0,0,False,,39.84,75.9,137,3.0,81.8
VL12906,Aeroméxico,Cartagena,Bogotá,Colombia,Doméstica,Económica,2,Sábado,50,650,0,0,False,,99.94,82.4,148,5.0,75.5
VL10028,Copa Airlines,Santiago,São Paulo,Chile,Internacional,Económica,2,Domingo,206,2700,39,25,False,Clima,301.49,100.0,180,4.2,80.4
VL10316,Aeroméxico,Ciudad Mx,Bogotá,México,Internacional,Ejecutiva,11,Sábado,251,3200,23,23,False,Clima,831.76,55.1,121,4.5,76.2
VL11205,Aeroméxico,Ciudad Mx,Miami,México,Internacional,Económica,3,Martes,154,2100,16,16,False,Mecánico,154.2,85.3,154,3.0,75.0
VL11322,Copa Airlines,Lima,Santiago,Perú,Internacional,Económica,1,Domingo,211,2400,0,0,False,,,50.7,91,4.5,84.4
VL10182,Avianca,Guadalajara,Ciudad Mx,México,Doméstica,Económica,8,Lunes,54,550,0,12,False,,30.0,66.7,120,3.1,71.8
VL12969,Volaris,Medellín,Ciudad Mx,Colombia,Internacional,Económica,8,Sábado,279,3400,0,2,False,,328.78,66.2,119,3.2,70.2
VL12532,Copa Airlines,Bogotá,Miami,Colombia,Internacional,Económica,5,Domingo,327,3800,0,6,True,,366.46,87.2,157,2.9,83.3
VL12997,Volaris,Bogotá,Miami,Colombia,Internacional,Primera,6,Miércoles,283,3800,0,0,False,,2074.6,81.2,244,5.0,65.1
VL11197,Avianca,Cartagena,Bogotá,Colombia,Doméstica,Ejecutiva,6,Sábado,51,650,0,1,False,,165.17,72.3,159,3.6,73.1
VL12956,Avianca,Buenos Aires,Lima,Argentina,Internacional,Económica,1,Sábado,247,3000,29,19,False,Operacional,383.02,71.7,129,3.8,73.8
VL12145,Sky Airline,Bogotá,Quito,Colombia,Internacional,Económica,2,Sábado,103,1000,23,25,False,Mecánico,64.62,67.5,122,4.1,73.2
VL12911,Viva Air,Bogotá,Medellín,Colombia,Doméstica,Ejecutiva,3,Viernes,74,580,0,21,False,,153.16,66.2,146,4.6,66.5
VL12026,Avianca,Buenos Aires,Lima,Argentina,Internacional,Ejecutiva,11,Martes,240,3000,8,0,False,,550.75,89.3,196,3.8,74.5
VL10574,Sky Airline,Lima,Santiago,Perú,Internacional,Económica,5,Jueves,181,2400,1,2,False,,276.65,78.3,141,,73.3
VL12968,Viva Air,Guadalajara,Ciudad Mx,México,Doméstica,Económica,7,Miércoles,84,550,1,0,False,,40.3,78.9,142,4.1,64.5
VL10034,Avianca,Cartagena,Bogotá,Colombia,Doméstica,Económica,11,Jueves,60,650,0,0,False,,87.22,89.4,161,3.6,73.0
VL12259,Sky Airline,Lima,Buenos Aires,Perú,Internacional,Ejecutiva,11,Miércoles,246,3100,0,3,False,,776.4,85.8,189,3.5,73.3
VL12008,LATAM,Bogotá,Medellín,Colombia,Doméstica,Económica,11,Sábado,61,580,0,0,False,,55.23,93.7,169,4.1,80.1
VL11148,Volaris,Bogotá,Quito,Colombia,Internacional,Económica,4,Domingo,99,1000,35,31,False,Operacional,73.15,88.0,158,3.3,72.9
VL12180,Avianca,Bogotá,Miami,Colombia,Internacional,Económica,12,Sábado,298,3800,21,13,False,Clima,369.31,85.0,153,4.7,73.2
VL10313,LATAM,Cartagena,Bogotá,Colombia,Doméstica,Económica,5,Jueves,69,650,0,15,False,,59.82,86.4,156,,77.5
VL11232,Avianca,Santiago,Lima,Chile,Internacional,Económica,2,Domingo,193,2400,26,34,False,Tripulación,190.3,100.0,180,3.9,68.4
VL12105,LATAM,Bogotá,Miami,Colombia,Internacional,Económica,12,Lunes,272,3800,0,0,False,,484.05,98.2,177,5.0,76.8
VL10429,Copa Airlines,Ciudad Mx,Cancún,México,Doméstica,Económica,7,Sábado,131,1600,29,35,False,Operacional,153.64,71.2,128,1.5,82.2
VL11417,LATAM,Ciudad Mx,Cancún,México,Doméstica,Económica,6,Lunes,123,1600,0,0,False,,197.69,88.6,159,3.6,79.4
VL11364,Avianca,Buenos Aires,Lima,Argentina,Internacional,Económica,4,Lunes,239,3000,0,0,False,,,68.2,123,3.8,71.2
VL10954,Avianca,Ciudad Mx,Bogotá,México,Internacional,Ejecutiva,9,Martes,245,3200,0,3,True,,984.59,74.2,163,3.0,72.8
VL12167,LATAM,Ciudad Mx,Cancún,México,Doméstica,Económica,9,Martes,148,1600,0,5,False,,188.02,68.3,123,,77.3
VL11731,LATAM,Cancún,Bogotá,México,Internacional,Económica,6,Domingo,280,3500,5,12,False,,493.48,62.4,112,3.4,78.1
VL11867,LATAM,Ciudad Mx,Cancún,México,Doméstica,Económica,2,Sábado,116,1600,2,0,False,,167.69,100.0,180,,78.0
VL11008,Copa Airlines,Santiago,Lima,Chile,Internacional,Económica,11,Sábado,195,2400,81,67,False,Operacional,200.81,100.0,180,2.3,81.8
VL11778,Avianca,Santiago,Lima,Chile,Internacional,Ejecutiva,3,Sábado,194,2400,15,32,False,,368.93,66.3,146,3.8,72.7
VL11491,Copa Airlines,Ciudad Mx,Bogotá,México,Internacional,Económica,7,Lunes,247,3200,0,6,False,,455.31,85.1,153,2.6,82.9
VL10516,LATAM,Ciudad Mx,Bogotá,México,Internacional,Ejecutiva,12,Jueves,265,3200,1,17,False,,1277.47,90.5,199,3.9,79.4
VL10108,Copa Airlines,Santiago,Lima,Chile,Internacional,Económica,3,Martes,192,2400,20,19,False,Tripulación,,75.3,136,4.0,83.3
VL10887,Copa Airlines,Santiago,Lima,Chile,Internacional,Económica,8,Sábado,187,2400,3,0,False,,129.77,80.7,145,5.0,83.4
VL11240,Copa Airlines,Lima,Santiago,Perú,Internacional,Ejecutiva,5,Viernes,169,2400,11,7,False,,536.25,95.5,210,3.0,80.9
VL11580,Viva Air,Santiago,Lima,Chile,Internacional,Económica,12,Jueves,176,2400,0,0,False,,150.74,69.0,124,4.5,64.6
VL10898,Aeroméxico,Bogotá,Medellín,Colombia,Doméstica,Económica,6,Sábado,59,580,11,13,False,,58.73,71.7,129,3.7,77.1
VL11515,Aeroméxico,Bogotá,Medellín,Colombia,Doméstica,Ejecutiva,2,Viernes,54,580,0,4,False,,84.12,82.5,182,3.7,76.3
VL10967,LATAM,Bogotá,Miami,Colombia,Internacional,Económica,9,Lunes,317,3800,0,0,False,,342.51,100.0,180,4.3,80.0
VL11743,Viva Air,Bogotá,Medellín,Colombia,Doméstica,Económica,8,Viernes,67,580,22,19,False,Clima,98.81,84.5,152,3.0,66.0
VL12764,Sky Airline,Ciudad Mx,Cancún,México,Doméstica,Económica,11,Jueves,143,1600,4,0,False,,213.48,89.6,161,2.5,72.9
VL10356,Copa Airlines,Bogotá,Medellín,Colombia,Doméstica,Económica,8,Sábado,40,580,0,4,False,,56.16,100.0,180,4.0,81.9
VL10208,Aeroméxico,Bogotá,Medellín,Colombia,Doméstica,Económica,10,Sábado,50,580,0,0,False,,84.51,72.4,130,4.1,76.3
VL12040,Volaris,Bogotá,Quito,Colombia,Internacional,Primera,5,Viernes,88,1000,4,0,False,,342.93,76.5,230,4.7,70.5
VL11258,Avianca,Bogotá,Medellín,Colombia,Doméstica,Ejecutiva,4,Domingo,45,580,93,74,False,Operacional,215.08,90.7,200,2.1,72.9
VL11688,Aeroméxico,Santiago,São Paulo,Chile,Internacional,Económica,9,Sábado,233,2700,0,0,False,,317.03,84.6,152,4.7,74.9
VL12171,Aeroméxico,Bogotá,Medellín,Colombia,Doméstica,Ejecutiva,7,Sábado,66,580,0,4,False,,109.1,79.0,174,3.3,75.3
VL11139,Aeroméxico,Santiago,São Paulo,Chile,Internacional,Económica,4,Viernes,206,2700,44,55,False,Aeropuerto,180.0,77.6,140,2.2,71.3
VL11421,Viva Air,Medellín,Ciudad Mx,Colombia,Internacional,Económica,6,Jueves,247,3400,73,56,False,Clima,434.78,52.5,94,4.2,63.7
VL11834,Aeroméxico,Bogotá,Quito,Colombia,Internacional,Económica,9,Viernes,84,1000,0,4,True,,118.78,72.6,131,3.6,74.7
VL11900,LATAM,Santiago,São Paulo,Chile,Internacional,Económica,6,Viernes,238,2700,0,5,False,,203.71,69.9,126,,77.8
VL11524,Volaris,Medellín,Ciudad Mx,Colombia,Internacional,Económica,3,Jueves,257,3400,0,0,False,,436.65,49.2,89,2.7,72.5
VL12054,Aeroméxico,Bogotá,Quito,Colombia,Internacional,Ejecutiva,9,Domingo,91,1000,0,0,False,,314.81,84.8,187,3.1,76.8
VL11510,LATAM,Bogotá,Quito,Colombia,Internacional,Ejecutiva,4,Martes,92,1000,0,0,False,,256.35,76.8,169,5.0,79.0
VL12423,Aeroméxico,Lima,Buenos Aires,Perú,Internacional,Económica,11,Viernes,240,3100,0,0,False,,383.02,61.1,110,3.0,74.9
VL12599,Volaris,Ciudad Mx,Cancún,México,Doméstica,Económica,11,Sábado,124,1600,0,2,False,,98.06,92.3,166,4.3,71.2
VL11502,Avianca,Bogotá,Medellín,Colombia,Doméstica,Económica,3,Sábado,50,580,0,0,False,,30.0,91.4,165,5.0,71.2
VL10974,Avianca,Bogotá,Medellín,Colombia,Doméstica,Económica,10,Jueves,43,580,0,6,False,,87.37,81.7,147,3.2,73.6
VL12805,LATAM,Cartagena,Bogotá,Colombia,Doméstica,Ejecutiva,11,Lunes,63,650,8,12,False,,213.78,79.6,175,4.7,78.9
VL11562,Sky Airline,Ciudad Mx,Miami,México,Internacional,Económica,7,Lunes,169,2100,19,19,False,Operacional,282.1,86.9,156,2.4,73.7
